fecha,PRECIP_mm,EVAP_mm,TMAX_c,TMIN_c,almacenamiento_hm3
29/11/1991,0,2.41,23,11.5,2989.5
30/11/1991,0,2.31,22,12,2989.5
01/12/1991,0,2.28,23.5,13,2989.5
02/12/1991,0,3.01,23.5,12,2989.5
03/12/1991,0,3.6,25,12.5,2980
04/12/1991,0,3.43,22,12,2980
05/12/1991,0,2.93,22,11.5,2980
06/12/1991,0,6.22,24,12,2980
07/12/1991,2.1,2.44,21.5,13.5,2980
08/12/1991,0,0.42,20,14,2980
09/12/1991,0,2.83,24,13,2970.6
10/12/1991,0,2.77,23.5,13,2970.6
11/12/1991,0,2.33,24,13,2970.6
12/12/1991,0,2.47,23,13.5,2970.6
13/12/1991,0,2.75,23,13,2970.6
14/12/1991,0,2.56,21,13,2970.6
15/12/1991,0,2.98,20,13.5,2970.6
16/12/1991,0,2.7,20,12.5,2970.6
17/12/1991,0,1.75,22,12,2961.2
18/12/1991,0,2.13,21.5,12.5,2961.2
19/12/1991,0,2.22,21,12.5,2961.2
20/12/1991,0,1.23,21,13,2961.2
21/12/1991,0,2.8,23,12,2951.8
22/12/1991,0,1.87,21.5,13,2951.8
23/12/1991,0,2.44,21,13,2951.8
24/12/1991,0.5,1.31,22,12,2942.4
25/12/1991,0,2.71,22.5,12.5,2942.4
26/12/1991,0,3.14,20.5,11,2942.4
27/12/1991,0,5.14,22,10.5,2942.4
28/12/1991,0,4.44,23,14,2942.4
29/12/1991,0,4.53,21,13.5,2942.4
30/12/1991,0,2.18,18.5,13,2933
31/12/1991,6,1.62,19,12.5,2933
01/01/1992,0.8,0.1,19,13,2933
02/01/1992,0,1.9,20,12.5,2923.6
03/01/1992,0,1.1,20,13.5,2923.6
04/01/1992,0,3.1,24,13,2923.6
05/01/1992,0,3.2,23,12,2914.2
06/01/1992,1,0.3,21,12.5,2914.2
07/01/1992,0,1.9,21,11.5,2904.8
08/01/1992,20.4,0.7,19.5,12,2904.8
09/01/1992,9.5,13.4,15.5,11.5,2904.8
10/01/1992,27.1,0.5,14.5,12,2904.8
11/01/1992,1,0.5,20,11.5,2923.6
12/01/1992,0,1.8,22,11,2923.6
13/01/1992,0,2.5,19,10.5,2942.4
14/01/1992,0,1.6,20.5,10.5,2942.4
15/01/1992,31.5,0.7,19.5,11.5,2942.4
16/01/1992,46.8,0.5,12.5,10.5,2942.4
17/01/1992,16.1,0.9,13.5,10.5,2961.2
18/01/1992,0,2.5,19,10,2980
19/01/1992,0,1.7,19,11,3018
20/01/1992,0,2.3,19,11.5,3037
21/01/1992,0,2.8,23.5,11,3046.5
22/01/1992,0,3.4,24,11.5,3056
23/01/1992,1.5,1.1,20,11.5,3065.5
24/01/1992,3,1.6,19.5,11.5,3075
25/01/1992,51,1.2,15,12.5,3104.4
26/01/1992,0,1.3,20,12,3124
27/01/1992,1.9,1,19,11.5,3153.4
28/01/1992,0.2,0.8,16.5,11,3173
29/01/1992,0.7,1.8,19,10,3203
30/01/1992,0,1.8,19,10,3203
31/01/1992,5,0.3,15,10,3223
01/02/1992,2,0.5,21,11.5,3233
02/02/1992,1.1,2.1,17.5,10,3243
03/02/1992,0,9.96,21.5,10,3243
04/02/1992,0,3.7,22,8,3243
05/02/1992,0,3,19,7.5,3253
06/02/1992,0,2.4,18.5,7.5,3263
07/02/1992,0,4.4,19,7.5,3273
08/02/1992,0,3.8,22,8,3273
09/02/1992,0,3.1,22.5,8,3273
10/02/1992,0,2.6,22,9,3283
11/02/1992,0,3.3,22,10,3283
12/02/1992,0,2.9,23,10,3293
13/02/1992,0,2.5,22,10.5,3293
14/02/1992,0,3.8,24.5,11.5,3293
15/02/1992,0,3,24.5,11,3293
16/02/1992,0,5.3,25,11,3293
17/02/1992,0,4,25.5,11,3293
18/02/1992,0,3.9,24.5,11.5,3293
19/02/1992,0,4.9,25.5,12,3293
20/02/1992,0,3.1,23,12,3293
21/02/1992,0,3.3,25,12.5,3293
22/02/1992,0,3.5,26,13,3283
23/02/1992,0,4.3,24,12.5,3283
24/02/1992,0,5.4,25.5,12,3283
25/02/1992,0,4.2,23,10,3273
26/02/1992,0,1.7,17.5,10.5,3273
27/02/1992,0,4.5,21.5,12,3273
28/02/1992,0,4.1,22,11,3263
29/02/1992,0,3.9,23.5,11,3263
01/03/1992,0,3.1,23,12.5,3253
02/03/1992,0,4.1,26,12.5,3253
03/03/1992,0,4.7,22,13,3243
04/03/1992,0,5.7,28,12,3243
05/03/1992,0,4.7,25,11.5,3233
06/03/1992,0,5.8,22,11.5,3233
07/03/1992,0,4.5,24,12.5,3233
08/03/1992,0,5.7,23,12.5,3223
09/03/1992,0,5.7,23,13,3223
10/03/1992,0,4.5,25.5,13,3213
11/03/1992,0,5.6,23,13.5,3213
12/03/1992,0,4.7,26,13.5,3203
13/03/1992,0,3.1,23,14,3203
14/03/1992,0,4.7,19.5,12,3193
15/03/1992,0,5.4,24,10,3193
16/03/1992,0,5.5,26.5,12.5,3183
17/03/1992,0,9.7,24,12.5,3183
18/03/1992,0,1.2,29,13,3173
19/03/1992,0,4.8,26.5,13,3163.2
20/03/1992,0,5.1,28,14,3163.2
21/03/1992,0,4,30,15,3153.4
22/03/1992,0,7.8,28,14,3153.4
23/03/1992,0,5.699999999999999,30,14,3143.6
24/03/1992,0,6,30,14,3143.6
25/03/1992,0,5.7,30.5,14.5,3133.8
26/03/1992,0,5.6,29.5,15,3133.8
27/03/1992,0,3.8,26,15.5,3124
28/03/1992,0,2,24,15.5,3124
29/03/1992,0,4.4,28,15,3114.2
30/03/1992,0,4.6,27,15,3114.2
31/03/1992,0,3,25,15,3104.4
01/04/1992,0,3.3,28,15.5,3104.4
02/04/1992,0,4.5,28,15,3094.6
03/04/1992,0,8.3,27,15,3094.6
04/04/1992,0,5.050000000000001,25,15,3084.8
05/04/1992,0,5.2,26,14.5,3075
06/04/1992,0,5.4,28,12,3065.5
07/04/1992,0,3.6,25,12.5,3065.5
08/04/1992,0,5,28,14,3056
09/04/1992,0,6.2,29,14.5,3056
10/04/1992,0,7.9,30.5,15,3046.5
11/04/1992,0,6.2,30.5,14,3046.5
12/04/1992,0,5,28,13.5,3037
13/04/1992,0,5.2,28.5,14,3037
14/04/1992,0,5.9,29.5,14,3027.5
15/04/1992,0,6.2,30.5,13.5,3018
16/04/1992,0,5.5,29,12.5,3018
17/04/1992,0,6.3,28.5,12.5,3008.5
18/04/1992,0,6.7,29,12,2999
19/04/1992,0,6.7,30,12,2989.5
20/04/1992,0,4.6,26.5,12,2989.5
21/04/1992,0,5.3,29.5,12.5,2980
22/04/1992,0,5,27.5,13,2970.6
23/04/1992,0,4.6,27,14.5,2970.6
24/04/1992,0,5.2,31,14,2961.2
25/04/1992,0,5.4,29.5,15,2961.2
26/04/1992,0,4.9,28,14,2951.8
27/04/1992,0,5.6,28,15.5,2951.8
28/04/1992,0.4,3.7,27.5,16,2942.4
29/04/1992,0,6.4,29.5,15,2942.4
30/04/1992,0,5.3,30.5,17.5,2933
01/05/1992,0,5.7,28,16.5,2933
02/05/1992,0,5.4,31,15.5,2923.6
03/05/1992,0,5.7,32,16.5,2923.6
